Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
6.207755e-01  35.567819  4.287421e-01  5.981215e-01  -2.232106
6.223471e-01  35.657864  4.285199e-01  5.975017e-01  -2.236608
6.239187e-01  35.747908  4.282864e-01  5.968508e-01  -2.241342
6.254903e-01  35.837953  4.280416e-01  5.961688e-01  -2.246308
6.270619e-01  35.927998  4.277855e-01  5.954556e-01  -2.251506
6.286334e-01  36.018043  4.275180e-01  5.947111e-01  -2.256940
6.302050e-01  36.108088  4.272391e-01  5.939354e-01  -2.262608
6.317766e-01  36.198133  4.269487e-01  5.931283e-01  -2.268513
6.333482e-01  36.288178  4.266469e-01  5.922900e-01  -2.274656
6.349198e-01  36.378223  4.263335e-01  5.914202e-01  -2.281038
6.364914e-01  36.468268  4.260086e-01  5.905191e-01  -2.287660
6.380629e-01  36.558313  4.256721e-01  5.895866e-01  -2.294524
6.396345e-01  36.648358  4.253240e-01  5.886227e-01  -2.301630
6.412061e-01  36.738403  4.249642e-01  5.876273e-01  -2.308980
6.427777e-01  36.828448  4.245928e-01  5.866005e-01  -2.316576
6.443493e-01  36.918493  4.242096e-01  5.855423e-01  -2.324418
6.459208e-01  37.008538  4.238147e-01  5.844526e-01  -2.332507
6.474924e-01  37.098583  4.234080e-01  5.833314e-01  -2.340846
6.490640e-01  37.188628  4.229895e-01  5.821788e-01  -2.349436
6.506356e-01  37.278673  4.225591e-01  5.809948e-01  -2.358277
6.522072e-01  37.368718  4.221169e-01  5.797794e-01  -2.367372
6.537787e-01  37.458763  4.216628e-01  5.785325e-01  -2.376722
6.553503e-01  37.548808  4.211967e-01  5.772543e-01  -2.386328
6.569219e-01  37.638853  4.207186e-01  5.759447e-01  -2.396192
6.584935e-01  37.728898  4.202286e-01  5.746037e-01  -2.406316
6.600651e-01  37.818943  4.197265e-01  5.732314e-01  -2.416700
6.616367e-01  37.908988  4.192123e-01  5.718279e-01  -2.427347
6.632082e-01  37.999033  4.186861e-01  5.703931e-01  -2.438257
6.647798e-01  38.089078  4.181477e-01  5.689271e-01  -2.449434
6.663514e-01  38.179123  4.175971e-01  5.674300e-01  -2.460877
6.679230e-01  38.269168  4.170344e-01  5.659018e-01  -2.472590
6.694946e-01  38.359212  4.164595e-01  5.643425e-01  -2.484573
6.710661e-01  38.449257  4.158723e-01  5.627522e-01  -2.496828
6.726377e-01  38.539302  4.152728e-01  5.611310e-01  -2.509358
6.742093e-01  38.629347  4.146610e-01  5.594789e-01  -2.522163
6.757809e-01  38.719392  4.140369e-01  5.577960e-01  -2.535246
6.773525e-01  38.809437  4.134004e-01  5.560824e-01  -2.548609
6.789240e-01  38.899482  4.127516e-01  5.543381e-01  -2.562253
6.804956e-01  38.989527  4.120903e-01  5.525632e-01  -2.576180
6.820672e-01  39.079572  4.114165e-01  5.507579e-01  -2.590392
6.836388e-01  39.169617  4.107303e-01  5.489222e-01  -2.604892
6.852104e-01  39.259662  4.100316e-01  5.470562e-01  -2.619681
6.867819e-01  39.349707  4.093204e-01  5.451599e-01  -2.634761
6.883535e-01  39.439752  4.085965e-01  5.432336e-01  -2.650134
6.899251e-01  39.529797  4.078602e-01  5.412773e-01  -2.665802
6.914967e-01  39.619842  4.071111e-01  5.392911e-01  -2.681768
6.930683e-01  39.709887  4.063495e-01  5.372751e-01  -2.698033
6.946399e-01  39.799932  4.055752e-01  5.352295e-01  -2.714600
6.962114e-01  39.889977  4.047882e-01  5.331543e-01  -2.731471
6.977830e-01  39.980022  4.039885e-01  5.310497e-01  -2.748648
6.993546e-01  40.070067  4.031760e-01  5.289159e-01  -2.766134
7.009262e-01  40.160112  4.023508e-01  5.267529e-01  -2.783930
7.024978e-01  40.250157  4.015128e-01  5.245610e-01  -2.802040
7.040693e-01  40.340202  4.006619e-01  5.223401e-01  -2.820466
7.056409e-01  40.430247  3.997982e-01  5.200906e-01  -2.839210
7.072125e-01  40.520292  3.989217e-01  5.178126e-01  -2.858274
7.087841e-01  40.610337  3.980323e-01  5.155061e-01  -2.877662
7.103557e-01  40.700382  3.971299e-01  5.131715e-01  -2.897375
7.119272e-01  40.790427  3.962147e-01  5.108088e-01  -2.917416
7.134988e-01  40.880471  3.952864e-01  5.084182e-01  -2.937789
7.150704e-01  40.970516  3.943452e-01  5.059999e-01  -2.958496
7.166420e-01  41.060561  3.933910e-01  5.035541e-01  -2.979539
7.182136e-01  41.150606  3.924238e-01  5.010809e-01  -3.000921
7.197852e-01  41.240651  3.914435e-01  4.985806e-01  -3.022646
7.213567e-01  41.330696  3.904501e-01  4.960533e-01  -3.044716
7.229283e-01  41.420741  3.894437e-01  4.934993e-01  -3.067134
7.244999e-01  41.510786  3.884241e-01  4.909188e-01  -3.089904
7.260715e-01  41.600831  3.873914e-01  4.883119e-01  -3.113027
7.276431e-01  41.690876  3.863456e-01  4.856789e-01  -3.136508
7.292146e-01  41.780921  3.852866e-01  4.830199e-01  -3.160349
7.307862e-01  41.870966  3.842144e-01  4.803353e-01  -3.184555
7.323578e-01  41.961011  3.831290e-01  4.776253e-01  -3.209127
7.339294e-01  42.051056  3.820304e-01  4.748900e-01  -3.234070
7.355010e-01  42.141101  3.809185e-01  4.721298e-01  -3.259386
7.370725e-01  42.231146  3.797934e-01  4.693448e-01  -3.285080
7.386441e-01  42.321191  3.786549e-01  4.665353e-01  -3.311155
7.402157e-01  42.411236  3.775032e-01  4.637015e-01  -3.337615
7.417873e-01  42.501281  3.763382e-01  4.608438e-01  -3.364462
7.433589e-01  42.591326  3.751598e-01  4.579624e-01  -3.391702
7.449304e-01  42.681371  3.739681e-01  4.550575e-01  -3.419337
7.465020e-01  42.771416  3.727630e-01  4.521294e-01  -3.447372
7.480736e-01  42.861461  3.715445e-01  4.491784e-01  -3.475811
7.496452e-01  42.951506  3.703126e-01  4.462048e-01  -3.504657
7.512168e-01  43.041551  3.690673e-01  4.432089e-01  -3.533915
7.527884e-01  43.131596  3.678086e-01  4.401909e-01  -3.563590
7.543599e-01  43.221641  3.665365e-01  4.371511e-01  -3.593684
7.559315e-01  43.311686  3.652508e-01  4.340899e-01  -3.624203
7.575031e-01  43.401731  3.639518e-01  4.310076e-01  -3.655151
7.590747e-01  43.491775  3.626392e-01  4.279044e-01  -3.686533
7.606463e-01  43.581820  3.613131e-01  4.247806e-01  -3.718353
7.622178e-01  43.671865  3.599735e-01  4.216367e-01  -3.750616
7.637894e-01  43.761910  3.586205e-01  4.184729e-01  -3.783326
7.653610e-01  43.851955  3.572538e-01  4.152896e-01  -3.816490
7.669326e-01  43.942000  3.558736e-01  4.120870e-01  -3.850111
7.685042e-01  44.032045  3.544799e-01  4.088656e-01  -3.884195
7.700757e-01  44.122090  3.530726e-01  4.056256e-01  -3.918746
7.716473e-01  44.212135  3.516518e-01  4.023674e-01  -3.953772
7.732189e-01  44.302180  3.502173e-01  3.990915e-01  -3.989276
7.747905e-01  44.392225  3.487692e-01  3.957980e-01  -4.025264
7.763621e-01  44.482270  3.473076e-01  3.924875e-01  -4.061742
7.779337e-01  44.572315  3.458323e-01  3.891602e-01  -4.098716
7.795052e-01  44.662360  3.443434e-01  3.858165e-01  -4.136192
7.810768e-01  44.752405  3.428409e-01  3.824569e-01  -4.174175
7.826484e-01  44.842450  3.413247e-01  3.790817e-01  -4.212672
7.842200e-01  44.932495  3.397949e-01  3.756912e-01  -4.251689
7.857916e-01  45.022540  3.382515e-01  3.722860e-01  -4.291233
7.873631e-01  45.112585  3.366944e-01  3.688663e-01  -4.331310
7.889347e-01  45.202630  3.351236e-01  3.654326e-01  -4.371927
7.905063e-01  45.292675  3.335392e-01  3.619853e-01  -4.413091
7.920779e-01  45.382720  3.319410e-01  3.585248e-01  -4.454808
7.936495e-01  45.472765  3.303292e-01  3.550515e-01  -4.497087
7.952210e-01  45.562810  3.287038e-01  3.515658e-01  -4.539934
7.967926e-01  45.652855  3.270646e-01  3.480682e-01  -4.583356
7.983642e-01  45.742900  3.254118e-01  3.445591e-01  -4.627362
7.999358e-01  45.832945  3.237452e-01  3.410390e-01  -4.671960
8.015074e-01  45.922990  3.220650e-01  3.375082e-01  -4.717157
8.030790e-01  46.013035  3.203711e-01  3.339672e-01  -4.762962
8.046505e-01  46.103079  3.186634e-01  3.304165e-01  -4.809382
8.062221e-01  46.193124  3.169421e-01  3.268565e-01  -4.856428
8.077937e-01  46.283169  3.152071e-01  3.232878e-01  -4.904107
8.093653e-01  46.373214  3.134584e-01  3.197106e-01  -4.952429
8.109369e-01  46.463259  3.116960e-01  3.161256e-01  -5.001404
8.125084e-01  46.553304  3.099199e-01  3.125331e-01  -5.051039
8.140800e-01  46.643349  3.081301e-01  3.089338e-01  -5.101346
8.156516e-01  46.733394  3.063266e-01  3.053279e-01  -5.152335
8.172232e-01  46.823439  3.045094e-01  3.017161e-01  -5.204014
8.187948e-01  46.913484  3.026785e-01  2.980989e-01  -5.256397
8.203663e-01  47.003529  3.008339e-01  2.944766e-01  -5.309492
8.219379e-01  47.093574  2.989757e-01  2.908499e-01  -5.363311
8.235095e-01  47.183619  2.971037e-01  2.872192e-01  -5.417865
8.250811e-01  47.273664  2.952181e-01  2.835850e-01  -5.473167
8.266527e-01  47.363709  2.933189e-01  2.799479e-01  -5.529227
8.282242e-01  47.453754  2.914059e-01  2.763084e-01  -5.586060
8.297958e-01  47.543799  2.894793e-01  2.726669e-01  -5.643676
8.313674e-01  47.633844  2.875391e-01  2.690241e-01  -5.702089
8.329390e-01  47.723889  2.855852e-01  2.653803e-01  -5.761313
8.345106e-01  47.813934  2.836177e-01  2.617363e-01  -5.821360
8.360822e-01  47.903979  2.816366e-01  2.580925e-01  -5.882246
8.376537e-01  47.994024  2.796418e-01  2.544494e-01  -5.943985
8.392253e-01  48.084069  2.776334e-01  2.508077e-01  -6.006592
8.407969e-01  48.174114  2.756115e-01  2.471678e-01  -6.070082
8.423685e-01  48.264159  2.735759e-01  2.435303e-01  -6.134470
8.439401e-01  48.354204  2.715268e-01  2.398958e-01  -6.199774
8.455116e-01  48.444249  2.694641e-01  2.362648e-01  -6.266010
8.470832e-01  48.534294  2.673878e-01  2.326379e-01  -6.333196
8.486548e-01  48.624338  2.652980e-01  2.290157e-01  -6.401348
8.502264e-01  48.714383  2.631946e-01  2.253987e-01  -6.470486
8.517980e-01  48.804428  2.610778e-01  2.217875e-01  -6.540629
8.533695e-01  48.894473  2.589474e-01  2.181828e-01  -6.611796
8.549411e-01  48.984518  2.568036e-01  2.145850e-01  -6.684006
8.565127e-01  49.074563  2.546462e-01  2.109948e-01  -6.757282
8.580843e-01  49.164608  2.524754e-01  2.074128e-01  -6.831645
8.596559e-01  49.254653  2.502912e-01  2.038395e-01  -6.907116
8.612275e-01  49.344698  2.480935e-01  2.002756e-01  -6.983719
8.627990e-01  49.434743  2.458824e-01  1.967217e-01  -7.061477
8.643706e-01  49.524788  2.436580e-01  1.931784e-01  -7.140415
8.659422e-01  49.614833  2.414201e-01  1.896462e-01  -7.220558
8.675138e-01  49.704878  2.391689e-01  1.861259e-01  -7.301933
8.690854e-01  49.794923  2.369044e-01  1.826179e-01  -7.384566
8.706569e-01  49.884968  2.346265e-01  1.791230e-01  -7.468487
8.722285e-01  49.975013  2.323353e-01  1.756417e-01  -7.553723
8.738001e-01  50.065058  2.300309e-01  1.721748e-01  -7.640305
8.753717e-01  50.155103  2.277132e-01  1.687227e-01  -7.728265
8.769433e-01  50.245148  2.253822e-01  1.652862e-01  -7.817635
8.785148e-01  50.335193  2.230380e-01  1.618658e-01  -7.908448
8.800864e-01  50.425238  2.206807e-01  1.584623e-01  -8.000741
8.816580e-01  50.515283  2.183102e-01  1.550762e-01  -8.094548
8.832296e-01  50.605328  2.159265e-01  1.517082e-01  -8.189908
8.848012e-01  50.695373  2.135297e-01  1.483590e-01  -8.286861
8.863728e-01  50.785418  2.111198e-01  1.450292e-01  -8.385446
8.879443e-01  50.875463  2.086969e-01  1.417194e-01  -8.485708
8.895159e-01  50.965508  2.062609e-01  1.384303e-01  -8.587689
8.910875e-01  51.055553  2.038119e-01  1.351625e-01  -8.691437
8.926591e-01  51.145598  2.013499e-01  1.319168e-01  -8.796999
8.942307e-01  51.235642  1.988749e-01  1.286937e-01  -8.904427
8.958022e-01  51.325687  1.963870e-01  1.254940e-01  -9.013771
8.973738e-01  51.415732  1.938862e-01  1.223182e-01  -9.125088
8.989454e-01  51.505777  1.913726e-01  1.191672e-01  -9.238434
9.005170e-01  51.595822  1.888461e-01  1.160414e-01  -9.353869
9.020886e-01  51.685867  1.863067e-01  1.129417e-01  -9.471457
9.036601e-01  51.775912  1.837546e-01  1.098686e-01  -9.591262
9.052317e-01  51.865957  1.811898e-01  1.068229e-01  -9.713355
9.068033e-01  51.956002  1.786122e-01  1.038053e-01  -9.837806
9.083749e-01  52.046047  1.760219e-01  1.008163e-01  -9.964693
9.099465e-01  52.136092  1.734190e-01  9.785670e-02  -10.094094
9.115180e-01  52.226137  1.708035e-01  9.492717e-02  -10.226094
9.130896e-01  52.316182  1.681753e-01  9.202840e-02  -10.360781
9.146612e-01  52.406227  1.655347e-01  8.916106e-02  -10.498248
9.162328e-01  52.496272  1.628815e-01  8.632583e-02  -10.638592
9.178044e-01  52.586317  1.602158e-01  8.352341e-02  -10.781918
9.193760e-01  52.676362  1.575378e-01  8.075447e-02  -10.928334
9.209475e-01  52.766407  1.548473e-01  7.801972e-02  -11.077956
9.225191e-01  52.856452  1.521444e-01  7.531983e-02  -11.230907
9.240907e-01  52.946497  1.494292e-01  7.265550e-02  -11.387315
9.256623e-01  53.036542  1.467018e-01  7.002742e-02  -11.547319
9.272339e-01  53.126587  1.439621e-01  6.743627e-02  -11.711064
9.288054e-01  53.216632  1.412102e-01  6.488276e-02  -11.878707
9.303770e-01  53.306677  1.384461e-01  6.236758e-02  -12.050411
9.319486e-01  53.396722  1.356699e-01  5.989141e-02  -12.226354
9.335202e-01  53.486767  1.328817e-01  5.745496e-02  -12.406725
9.350918e-01  53.576812  1.300814e-01  5.505891e-02  -12.591724
9.366633e-01  53.666857  1.272691e-01  5.270396e-02  -12.781568
9.382349e-01  53.756902  1.244449e-01  5.039080e-02  -12.976487
9.398065e-01  53.846946  1.216087e-01  4.812013e-02  -13.176732
9.413781e-01  53.936991  1.187607e-01  4.589265e-02  -13.382569
9.429497e-01  54.027036  1.159010e-01  4.370904e-02  -13.594287
9.445213e-01  54.117081  1.130294e-01  4.157000e-02  -13.812200
9.460928e-01  54.207126  1.101461e-01  3.947622e-02  -14.036644
9.476644e-01  54.297171  1.072512e-01  3.742840e-02  -14.267987
9.492360e-01  54.387216  1.043446e-01  3.542723e-02  -14.506629
9.508076e-01  54.477261  1.014265e-01  3.347339e-02  -14.753003
9.523792e-01  54.567306  9.849679e-02  3.156759e-02  -15.007586
9.539507e-01  54.657351  9.555566e-02  2.971051e-02  -15.270899
9.555223e-01  54.747396  9.260311e-02  2.790284e-02  -15.543516
9.570939e-01  54.837441  8.963919e-02  2.614527e-02  -15.826069
9.586655e-01  54.927486  8.666395e-02  2.443848e-02  -16.119258
9.602371e-01  55.017531  8.367745e-02  2.278317e-02  -16.423859
9.618086e-01  55.107576  8.067974e-02  2.118001e-02  -16.740738
9.633802e-01  55.197621  7.767087e-02  1.962969e-02  -17.070865
9.649518e-01  55.287666  7.465089e-02  1.813290e-02  -17.415327
9.665234e-01  55.377711  7.161987e-02  1.669031e-02  -17.775357
9.680950e-01  55.467756  6.857786e-02  1.530260e-02  -18.152349
9.696665e-01  55.557801  6.552491e-02  1.397044e-02  -18.547898
9.712381e-01  55.647846  6.246109e-02  1.269452e-02  -18.963837
9.728097e-01  55.737891  5.938644e-02  1.147550e-02  -19.402282
9.743813e-01  55.827936  5.630103e-02  1.031407e-02  -19.865701
9.759529e-01  55.917981  5.320491e-02  9.210871e-03  -20.356993
9.775245e-01  56.008026  5.009815e-02  8.166588e-03  -20.879594
9.790960e-01  56.098071  4.698080e-02  7.181880e-03  -21.437619
9.806676e-01  56.188116  4.385293e-02  6.257409e-03  -22.036055
9.822392e-01  56.278161  4.071460e-02  5.393833e-03  -22.681025
9.838108e-01  56.368206  3.756586e-02  4.591810e-03  -23.380161
9.853824e-01  56.458250  3.440678e-02  3.851992e-03  -24.143146
9.869539e-01  56.548295  3.123743e-02  3.175030e-03  -24.982522
9.885255e-01  56.638340  2.805786e-02  2.561571e-03  -25.914936
9.900971e-01  56.728385  2.486815e-02  2.012260e-03  -26.963159
9.916687e-01  56.818430  2.166835e-02  1.527738e-03  -28.159512
9.932403e-01  56.908475  1.845853e-02  1.108642e-03  -29.552087
9.948118e-01  56.998520  1.523875e-02  7.556073e-04  -31.217039
9.963834e-01  57.088565  1.200909e-02  4.692645e-04  -33.285823
9.979550e-01  57.178610  8.769615e-03  2.502409e-04  -36.016417
9.995266e-01  57.268655  5.520384e-03  9.915983e-05  -40.036642
1.001098e+00  57.358700  2.261469e-03  1.664097e-05  -47.788214
1.002670e+00  57.448745  1.007060e-03  3.299956e-06  -54.814919
1.004241e+00  57.538790  4.285135e-03  5.974839e-05  -42.236738
1.005813e+00  57.628835  7.572684e-03  1.865937e-04  -37.291031
1.007384e+00  57.718880  1.086964e-02  3.844390e-04  -34.151726
1.008956e+00  57.808925  1.417593e-02  6.538830e-04  -31.844999
1.010528e+00  57.898970  1.749147e-02  9.955201e-04  -30.019500
1.012099e+00  57.989015  2.081621e-02  1.409940e-03  -28.507994
1.013671e+00  58.079060  2.415006e-02  1.897727e-03  -27.217662
1.015242e+00  58.169105  2.749296e-02  2.459462e-03  -26.091598
1.016814e+00  58.259150  3.084482e-02  3.095721e-03  -25.092383
1.018386e+00  58.349195  3.420558e-02  3.807072e-03  -24.194089
1.019957e+00  58.439240  3.757515e-02  4.594081e-03  -23.378013
1.021529e+00  58.529285  4.095346e-02  5.457309e-03  -22.630215
1.023100e+00  58.619330  4.434044e-02  6.397309e-03  -21.940027
1.024672e+00  58.709375  4.773601e-02  7.414631e-03  -21.299105
1.026243e+00  58.799420  5.114009e-02  8.509817e-03  -20.700798
1.027815e+00  58.889465  5.455260e-02  9.683407e-03  -20.139718
1.029387e+00  58.979509  5.797346e-02  1.093593e-02  -19.611443
1.030958e+00  59.069554  6.140260e-02  1.226792e-02  -19.112292
1.032530e+00  59.159599  6.483993e-02  1.367988e-02  -18.639177
1.034101e+00  59.249644  6.828537e-02  1.517234e-02  -18.189474
1.035673e+00  59.339689  7.173885e-02  1.674581e-02  -17.760939
1.037245e+00  59.429734  7.520027e-02  1.840077e-02  -17.351639
1.038816e+00  59.519779  7.866957e-02  2.013774e-02  -16.959892
1.040388e+00  59.609824  8.214664e-02  2.195720e-02  -16.584231
1.041959e+00  59.699869  8.563142e-02  2.385962e-02  -16.223364
1.043531e+00  59.789914  8.912382e-02  2.584549e-02  -15.876152
1.045102e+00  59.879959  9.262375e-02  2.791528e-02  -15.541580
1.046674e+00  59.970004  9.613113e-02  3.006944e-02  -15.218747
1.048246e+00  60.060049  9.964587e-02  3.230843e-02  -14.906842
1.049817e+00  60.150094  1.031679e-01  3.463269e-02  -14.605137
1.051389e+00  60.240139  1.066971e-01  3.704268e-02  -14.312976
1.052960e+00  60.330184  1.102334e-01  3.953881e-02  -14.029764
1.054532e+00  60.420229  1.137767e-01  4.212152e-02  -13.754960
1.056104e+00  60.510274  1.173270e-01  4.479122e-02  -13.488071
1.057675e+00  60.600319  1.208840e-01  4.754832e-02  -13.228648
1.059247e+00  60.690364  1.244479e-01  5.039323e-02  -12.976278
1.060818e+00  60.780409  1.280184e-01  5.332634e-02  -12.730582
1.062390e+00  60.870454  1.315954e-01  5.634803e-02  -12.491213
1.063961e+00  60.960499  1.351789e-01  5.945869e-02  -12.257847
1.065533e+00  61.050544  1.387689e-01  6.265868e-02  -12.030188
1.067105e+00  61.140589  1.423651e-01  6.594837e-02  -11.807959
1.068676e+00  61.230634  1.459675e-01  6.932811e-02  -11.590907
1.070248e+00  61.320679  1.495760e-01  7.279824e-02  -11.378791
1.071819e+00  61.410724  1.531905e-01  7.635911e-02  -11.171391
1.073391e+00  61.500769  1.568109e-01  8.001104e-02  -10.968501
1.074962e+00  61.590813  1.604372e-01  8.375434e-02  -10.769927
1.076534e+00  61.680858  1.640692e-01  8.758934e-02  -10.575487
1.078106e+00  61.770903  1.677068e-01  9.151633e-02  -10.385014
1.079677e+00  61.860948  1.713500e-01  9.553560e-02  -10.198347
1.081249e+00  61.950993  1.749986e-01  9.964745e-02  -10.015338
1.082820e+00  62.041038  1.786525e-01  1.038521e-01  -9.835846
1.084392e+00  62.131083  1.823117e-01  1.081499e-01  -9.659738
1.085964e+00  62.221128  1.859760e-01  1.125411e-01  -9.486889
1.087535e+00  62.311173  1.896454e-01  1.170258e-01  -9.317182
1.089107e+00  62.401218  1.933197e-01  1.216044e-01  -9.150505
1.090678e+00  62.491263  1.969989e-01  1.262771e-01  -8.986753
1.092250e+00  62.581308  2.006828e-01  1.310441e-01  -8.825825
1.093821e+00  62.671353  2.043713e-01  1.359056e-01  -8.667627
1.095393e+00  62.761398  2.080645e-01  1.408617e-01  -8.512070
1.096965e+00  62.851443  2.117620e-01  1.459128e-01  -8.359067
1.098536e+00  62.941488  2.154639e-01  1.510589e-01  -8.208537
1.100108e+00  63.031533  2.191700e-01  1.563002e-01  -8.060404
1.101679e+00  63.121578  2.228803e-01  1.616370e-01  -7.914594
1.103251e+00  63.211623  2.265946e-01  1.670692e-01  -7.771036
1.104823e+00  63.301668  2.303128e-01  1.725971e-01  -7.629664
1.106394e+00  63.391713  2.340349e-01  1.782208e-01  -7.490415
1.107966e+00  63.481758  2.377607e-01  1.839405e-01  -7.353227
1.109537e+00  63.571803  2.414901e-01  1.897561e-01  -7.218042
1.111109e+00  63.661848  2.452230e-01  1.956679e-01  -7.084805
1.112680e+00  63.751893  2.489593e-01  2.016758e-01  -6.953462
1.114252e+00  63.841938  2.526989e-01  2.077800e-01  -6.823962
1.115824e+00  63.931983  2.564416e-01  2.139806e-01  -6.696256
1.117395e+00  64.022028  2.601875e-01  2.202775e-01  -6.570299
1.118967e+00  64.112073  2.639363e-01  2.266708e-01  -6.446043
1.120538e+00  64.202117  2.676880e-01  2.331606e-01  -6.323448
1.122110e+00  64.292162  2.714425e-01  2.397469e-01  -6.202470
1.123681e+00  64.382207  2.751996e-01  2.464296e-01  -6.083071
1.125253e+00  64.472252  2.789593e-01  2.532088e-01  -5.965212
1.126825e+00  64.562297  2.827213e-01  2.600845e-01  -5.848856
1.128396e+00  64.652342  2.864857e-01  2.670565e-01  -5.733968
1.129968e+00  64.742387  2.902523e-01  2.741250e-01  -5.620514
1.131539e+00  64.832432  2.940210e-01  2.812898e-01  -5.508460
1.133111e+00  64.922477  2.977917e-01  2.885509e-01  -5.397776
1.134683e+00  65.012522  3.015642e-01  2.959081e-01  -5.288431
1.136254e+00  65.102567  3.053385e-01  3.033615e-01  -5.180395
1.137826e+00  65.192612  3.091145e-01  3.109109e-01  -5.073641
1.139397e+00  65.282657  3.128920e-01  3.185562e-01  -4.968139
1.140969e+00  65.372702  3.166709e-01  3.262973e-01  -4.863865
1.142540e+00  65.462747  3.204511e-01  3.341340e-01  -4.760793
1.144112e+00  65.552792  3.242325e-01  3.420663e-01  -4.658897
1.145684e+00  65.642837  3.280150e-01  3.500939e-01  -4.558154
1.147255e+00  65.732882  3.317984e-01  3.582167e-01  -4.458542
1.148827e+00  65.822927  3.355827e-01  3.664345e-01  -4.360036
1.150398e+00  65.912972  3.393677e-01  3.747471e-01  -4.262617
1.151970e+00  66.003017  3.431534e-01  3.831544e-01  -4.166262
1.153542e+00  66.093062  3.469395e-01  3.916560e-01  -4.070952
1.155113e+00  66.183107  3.507260e-01  4.002518e-01  -3.976667
1.156685e+00  66.273152  3.545128e-01  4.089415e-01  -3.883388
1.158256e+00  66.363197  3.582998e-01  4.177249e-01  -3.791097
1.159828e+00  66.453242  3.620868e-01  4.266017e-01  -3.699774
1.161399e+00  66.543287  3.658737e-01  4.355716e-01  -3.609405
1.162971e+00  66.633332  3.696603e-01  4.446343e-01  -3.519970
1.164543e+00  66.723376  3.734467e-01  4.537896e-01  -3.431454
1.166114e+00  66.813421  3.772327e-01  4.630371e-01  -3.343842
1.167686e+00  66.903466  3.810180e-01  4.723765e-01  -3.257117
1.169257e+00  66.993511  3.848027e-01  4.818075e-01  -3.171265
1.170829e+00  67.083556  3.885866e-01  4.913296e-01  -3.086271
1.172401e+00  67.173601  3.923696e-01  5.009426e-01  -3.002120
1.173972e+00  67.263646  3.961515e-01  5.106460e-01  -2.918800
1.175544e+00  67.353691  3.999323e-01  5.204395e-01  -2.836297
1.177115e+00  67.443736  4.037118e-01  5.303227e-01  -2.754598
1.178687e+00  67.533781  4.074900e-01  5.402952e-01  -2.673689
1.180258e+00  67.623826  4.112666e-01  5.503564e-01  -2.593560
1.181830e+00  67.713871  4.150415e-01  5.605061e-01  -2.514197
1.183402e+00  67.803916  4.188147e-01  5.707436e-01  -2.435589
1.184973e+00  67.893961  4.225860e-01  5.810687e-01  -2.357725
1.186545e+00  67.984006  4.263553e-01  5.914808e-01  -2.280594
1.188116e+00  68.074051  4.301225e-01  6.019793e-01  -2.204184
1.189688e+00  68.164096  4.338874e-01  6.125639e-01  -2.128486
1.191259e+00  68.254141  4.376500e-01  6.232339e-01  -2.053489
1.192831e+00  68.344186  4.414100e-01  6.339889e-01  -1.979183
1.194403e+00  68.434231  4.451675e-01  6.448284e-01  -1.905559
1.195974e+00  68.524276  4.489222e-01  6.557517e-01  -1.832606
1.197546e+00  68.614321  4.526740e-01  6.667583e-01  -1.760316
1.199117e+00  68.704366  4.564229e-01  6.778476e-01  -1.688679
1.200689e+00  68.794411  4.601686e-01  6.890191e-01  -1.617687
1.202261e+00  68.884456  4.639111e-01  7.002721e-01  -1.547331
1.203832e+00  68.974501  4.676503e-01  7.116061e-01  -1.477603
1.205404e+00  69.064546  4.713860e-01  7.230204e-01  -1.408495
1.206975e+00  69.154591  4.751180e-01  7.345143e-01  -1.339997
1.208547e+00  69.244636  4.788463e-01  7.460873e-01  -1.272104
1.210118e+00  69.334680  4.825708e-01  7.577386e-01  -1.204806
1.211690e+00  69.424725  4.862913e-01  7.694675e-01  -1.138097
1.213262e+00  69.514770  4.900077e-01  7.812735e-01  -1.071969
1.214833e+00  69.604815  4.937199e-01  7.931558e-01  -1.006415
1.216405e+00  69.694860  4.974277e-01  8.051136e-01  -0.941428
1.217976e+00  69.784905  5.011310e-01  8.171463e-01  -0.877002
1.219548e+00  69.874950  5.048297e-01  8.292531e-01  -0.813129
1.221120e+00  69.964995  5.085237e-01  8.414333e-01  -0.749803
1.222691e+00  70.055040  5.122129e-01  8.536861e-01  -0.687018
1.224263e+00  70.145085  5.158970e-01  8.660108e-01  -0.624767
1.225834e+00  70.235130  5.195761e-01  8.784065e-01  -0.563045
1.227406e+00  70.325175  5.232499e-01  8.908725e-01  -0.501845
1.228977e+00  70.415220  5.269183e-01  9.034079e-01  -0.441161
1.230549e+00  70.505265  5.305813e-01  9.160120e-01  -0.380988
1.232121e+00  70.595310  5.342387e-01  9.286839e-01  -0.321321
1.233692e+00  70.685355  5.378903e-01  9.414228e-01  -0.262153
1.235264e+00  70.775400  5.415361e-01  9.542278e-01  -0.203479
1.236835e+00  70.865445  5.451759e-01  9.670981e-01  -0.145295
1.238407e+00  70.955490  5.488096e-01  9.800327e-01  -0.087594
1.239979e+00  71.045535  5.524370e-01  9.930309e-01  -0.030372
1.241550e+00  71.135580  5.560581e-01  1.006092e+00  0.026375
1.243122e+00  71.225625  5.596726e-01  1.019214e+00  0.082654
1.244693e+00  71.315670  5.632806e-01  1.032397e+00  0.138468
