Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
1.414433e-01  8.104104  1.451890e-01  6.859059e-02  -11.637355
1.430149e-01  8.194149  1.467565e-01  7.007970e-02  -11.544078
1.445865e-01  8.284194  1.483226e-01  7.158330e-02  -11.451883
1.461580e-01  8.374239  1.498870e-01  7.310133e-02  -11.360747
1.477296e-01  8.464284  1.514499e-01  7.463372e-02  -11.270649
1.493012e-01  8.554329  1.530111e-01  7.618040e-02  -11.181568
1.508728e-01  8.644374  1.545707e-01  7.774130e-02  -11.093482
1.524444e-01  8.734419  1.561287e-01  7.931635e-02  -11.006373
1.540159e-01  8.824464  1.576850e-01  8.090548e-02  -10.920220
1.555875e-01  8.914509  1.592396e-01  8.250863e-02  -10.835006
1.571591e-01  9.004554  1.607925e-01  8.412571e-02  -10.750712
1.587307e-01  9.094599  1.623437e-01  8.575666e-02  -10.667321
1.603023e-01  9.184644  1.638931e-01  8.740141e-02  -10.584816
1.618739e-01  9.274689  1.654407e-01  8.905987e-02  -10.503180
1.634454e-01  9.364734  1.669866e-01  9.073197e-02  -10.422397
1.650170e-01  9.454779  1.685306e-01  9.241764e-02  -10.342451
1.665886e-01  9.544824  1.700728e-01  9.411680e-02  -10.263328
1.681602e-01  9.634869  1.716132e-01  9.582937e-02  -10.185013
1.697318e-01  9.724914  1.731517e-01  9.755528e-02  -10.107492
1.713033e-01  9.814959  1.746883e-01  9.929444e-02  -10.030751
1.728749e-01  9.905003  1.762230e-01  1.010468e-01  -9.954776
1.744465e-01  9.995048  1.777558e-01  1.028122e-01  -9.879554
1.760181e-01  10.085093  1.792866e-01  1.045906e-01  -9.805072
1.775897e-01  10.175138  1.808154e-01  1.063820e-01  -9.731319
1.791612e-01  10.265183  1.823422e-01  1.081862e-01  -9.658281
1.807328e-01  10.355228  1.838671e-01  1.100032e-01  -9.585948
1.823044e-01  10.445273  1.853899e-01  1.118328e-01  -9.514308
1.838760e-01  10.535318  1.869106e-01  1.136750e-01  -9.443349
1.854476e-01  10.625363  1.884292e-01  1.155298e-01  -9.373061
1.870192e-01  10.715408  1.899458e-01  1.173969e-01  -9.303434
1.885907e-01  10.805453  1.914602e-01  1.192764e-01  -9.234456
1.901623e-01  10.895498  1.929725e-01  1.211681e-01  -9.166119
1.917339e-01  10.985543  1.944826e-01  1.230719e-01  -9.098411
1.933055e-01  11.075588  1.959906e-01  1.249878e-01  -9.031324
1.948771e-01  11.165633  1.974963e-01  1.269156e-01  -8.964849
1.964486e-01  11.255678  1.989998e-01  1.288554e-01  -8.898975
1.980202e-01  11.345723  2.005010e-01  1.308068e-01  -8.833695
1.995918e-01  11.435768  2.020000e-01  1.327700e-01  -8.769000
2.011634e-01  11.525813  2.034967e-01  1.347448e-01  -8.704881
